Drugname,Price,Search Query,Date,Price_prev,Price Changed,Form,Company,Region,Category
Aceta,1,AA,10/7/2024 15:47,1,TRUE,Ointment,MediHealth,Asia,Paracetamol
Aceta,1,AA,10/7/2024 15:47,1,TRUE,Capsule,BioTech,Europe,Paracetamol
Aceta,1,AA,10/7/2024 15:47,1,TRUE,Tablet,CureWell,Asia,Paracetamol
Aceta,1,AA,10/7/2024 15:47,1,TRUE,Tablet,MedGen,Africa,Paracetamol
Aceta,1,AA,10/7/2024 15:47,1,TRUE,Syrup,BioTech,Middle East,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Tablet,MedGen,Europe,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Capsule,MedGen,Middle East,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Syrup,MediHealth,Middle East,Paracetamol
Aceta,2,AB,10/7/2024 15:47,2,TRUE,Ointment,CureWell,Middle East,Paracetamol
Aceta,1,AB,10/7/2024 15:47,,TRUE,Syrup,MediHealth,Europe,Paracetamol
Aceta,2,AB,10/7/2024 15:47,1,TRUE,Ointment,MediHealth,North America,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Capsule,BioTech,North America,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Tablet,MediHealth,Middle East,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Tablet,MedGen,Asia,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Capsule,MedGen,North America,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Injection,MediHealth,Asia,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Syrup,BioTech,Asia,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Capsule,PharmaCorp,Africa,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Ointment,MediHealth,Africa,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Capsule,MediHealth,Africa,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Injection,BioTech,Middle East,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Injection,BioTech,Africa,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Syrup,MediHealth,Africa,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Capsule,MedGen,North America,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Tablet,CureWell,Europe,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Tablet,MedGen,Asia,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Injection,CureWell,Africa,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Capsule,PharmaCorp,Africa,Paracetamol
Aceta,1,AB,10/7/2024 15:47,4,TRUE,Ointment,BioTech,Europe,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Injection,MediHealth,Asia,Paracetamol
Aceta,4,AB,10/7/2024 15:47,1,TRUE,Injection,MediHealth,Middle East,Paracetamol
Aceta,4,AB,10/7/2024 15:47,4,TRUE,Tablet,CureWell,North America,Paracetamol
Aceta,4,AB,10/7/2024 15:47,1,TRUE,Ointment,PharmaCorp,Europe,Paracetamol
Aceta,1,AB,10/7/2024 15:47,1,TRUE,Syrup,BioTech,Europe,Paracetamol
